pms,property,study,viewport,run_number,success,abort_reason,abort_step,friction_score,total_clicks,domain_handoffs,page_count,form_fields_count,duration_ms,duration_seconds,study_a_attempts,captcha_encountered,inquiry_only,has_accelerated_checkout,ssl_valid,mobile_responsive
siteminder,Freehand NYC,B,mobile,1,FALSE,No SiteMinder booking engine found on homepage,homepage,0.5,0,0,1,0,9532,9.5,0,False,False,False,True,True
profitroom,Brahman Hills,B,mobile,3,FALSE,Could not select room,room_selection,7.0,0,1,4,0,24146,24.1,0,False,False,False,True,True
siteminder,Tremola-San Gottardo,A,desktop,1,TRUE,,,6.0,0,1,2,0,16789,16.8,1,False,False,False,True,True
profitroom,Katerina Resort,B,mobile,3,TRUE,,,7.0,1,1,2,0,124437,124.4,0,False,False,False,True,True
plekify,Singita,B,mobile,2,TRUE,,,9.0,4,0,2,8,49863,49.9,0,False,False,False,True,True
siteminder,Nantucket Whale Inn,A,desktop,3,TRUE,,,6.5,0,1,3,0,15906,15.9,1,False,False,False,True,True
profitroom,Apukka Resort,A,mobile,1,FALSE,CAPTCHA on homepage,homepage,1.0,0,0,2,0,4877,4.9,0,False,False,False,True,True
plekify,Hemingways,B,mobile,3,TRUE,,,9.0,4,0,2,8,48577,48.6,0,False,False,False,True,True
nightsbridge,Boulders Beach Lodge,A,mobile,3,FALSE,CAPTCHA on homepage,homepage,0.5,0,0,1,0,9572,9.6,0,False,False,False,True,True
profitroom,The Three,B,desktop,2,TRUE,,,7.5,1,1,3,0,35739,35.7,0,False,False,False,True,True
cloudbeds,Sea Esta Komodo,A,desktop,1,TRUE,,,3.5,3,0,1,0,18728,18.7,1,False,False,False,True,True
profitroom,Hotel Haffner,A,desktop,1,TRUE,,,6.5,0,1,3,0,21893,21.9,1,False,False,False,True,True
siteminder,Nantucket Whale Inn,A,mobile,1,TRUE,,,6.5,0,1,3,0,15158,15.2,1,False,False,False,True,True
plekify,Hemingways,A,mobile,2,TRUE,,,0.0,6,0,1,0,19690,19.7,2,False,False,False,True,True
plekify,Simbavati,A,mobile,3,TRUE,,,0.0,3,0,1,0,41450,41.5,1,False,False,False,True,True
cloudbeds,Saltline Hotel,A,desktop,3,TRUE,,,9.5,3,1,3,0,44975,45.0,1,False,False,False,True,True
nightsbridge,Supertubes Guesthouse,A,desktop,1,FALSE,No availability found,study_a,10.5,10,0,1,0,103058,103.1,10,False,False,False,True,True
siteminder,Beach Waikiki Hostel,A,mobile,1,TRUE,,,6.0,0,1,2,0,14261,14.3,1,False,False,False,True,True
siteminder,Ivy City Hotel,B,mobile,3,TRUE,,,14.0,3,1,3,9,26637,26.6,0,False,False,False,True,True
plekify,Simbavati,B,desktop,2,TRUE,,,9.0,4,0,2,8,25914,25.9,0,False,False,False,True,True
plekify,Simbavati,B,mobile,1,TRUE,,,4.5,4,0,1,0,71321,71.3,0,False,False,False,True,True
nightsbridge,Atlantic View,A,desktop,3,TRUE,,,14.0,8,1,2,0,42845,42.8,1,False,False,False,True,True
nightsbridge,Boulders Beach Lodge,B,mobile,2,FALSE,CAPTCHA on homepage,homepage,0.5,0,0,1,0,9305,9.3,0,False,False,False,True,True
cloudbeds,Pod 51 Hotel,A,mobile,1,FALSE,No booking entry point found on homepage,homepage,0.5,0,0,1,0,2967,3.0,0,False,False,False,True,True
cloudbeds,Fatwave Surf,B,desktop,2,FALSE,Could not complete booking flow to payment page,study_b,0.0,3,1,4,0,44895,44.9,0,False,False,False,True,True
nightsbridge,Lairds Lodge,A,desktop,2,TRUE,,,11.0,5,1,2,0,23478,23.5,1,False,False,False,True,True
nightsbridge,Supertubes Guesthouse,B,desktop,3,FALSE,Could not find NightsBridge date display,select_dates,11.0,10,0,2,0,57832,57.8,0,False,False,False,True,True
